Player,Squad,Team,Captain,TripCaptain,BB,WC,FH,TTr
Salah,1.0,1.0,1.0,0,0.0,1.0,0.0,1.0
Saka,1.0,1.0,0.0,0,0.0,1.0,0.0,1.0
Cash,1.0,1.0,0.0,0,0.0,1.0,0.0,1.0
Watkins,1.0,1.0,0.0,0,0.0,1.0,0.0,1.0
Mbeumo,1.0,1.0,0.0,0,0.0,1.0,0.0,1.0
Pinnock,1.0,1.0,0.0,0,0.0,1.0,0.0,1.0
Alexander-Arnold,1.0,1.0,0.0,0,0.0,1.0,0.0,1.0
A.Becker,1.0,1.0,0.0,0,0.0,1.0,0.0,1.0
B.Fernandes,1.0,1.0,0.0,0,0.0,1.0,0.0,1.0
Trippier,1.0,1.0,0.0,0,0.0,1.0,0.0,1.0
Son,1.0,1.0,0.0,0,0.0,1.0,0.0,1.0
Adebayo,1.0,0.0,0.0,0,0.0,1.0,0.0,1.0
Bell,1.0,0.0,0.0,0,0.0,1.0,0.0,1.0
Woodrow,1.0,0.0,0.0,0,0.0,1.0,0.0,1.0
Areola,1.0,0.0,0.0,0,0.0,1.0,0.0,1.0
