Player,Squad,Team,Captain,TripCaptain,BB,WC,FH,TTr
Salah,1.0,1.0,1.0,0,0.0,0.0,0.0,0.0
Solanke,1.0,1.0,0.0,0,0.0,0.0,0.0,0.0
N.Jackson,1.0,1.0,0.0,0,0.0,0.0,0.0,0.0
Alexander-Arnold,1.0,1.0,0.0,0,0.0,0.0,0.0,0.0
B.Fernandes,1.0,1.0,0.0,0,0.0,0.0,0.0,0.0
Pope,1.0,1.0,0.0,0,0.0,0.0,0.0,0.0
Trippier,1.0,1.0,0.0,0,0.0,0.0,0.0,0.0
Maddison,1.0,1.0,0.0,0,0.0,0.0,0.0,0.0
Son,1.0,1.0,0.0,0,0.0,0.0,0.0,0.0
Bowen,1.0,1.0,0.0,0,0.0,0.0,0.0,0.0
Disasi,1.0,1.0,0.0,0,0.0,0.0,0.0,0.0
Gusto,1.0,0.0,0.0,0,0.0,0.0,0.0,0.0
Bell,1.0,0.0,0.0,0,0.0,0.0,0.0,0.0
Woodrow,1.0,0.0,0.0,0,0.0,0.0,0.0,0.0
Areola,1.0,0.0,0.0,0,0.0,0.0,0.0,0.0
