Name,2_with_prob,3_with_prob,4_with_prob,5_with_prob,6_with_prob,7_with_prob,8_with_prob,9_with_prob,10_with_prob,11_with_prob,12_with_prob,13_with_prob,14_with_prob,15_with_prob,16_with_prob,17_with_prob,18_with_prob,19_with_prob,20_with_prob,21_with_prob,22_with_prob,23_with_prob,24_with_prob,25_with_prob,26_with_prob,27_with_prob,28_with_prob,29_with_prob,30_with_prob,31_with_prob,32_with_prob,33_with_prob,34_with_prob,35_with_prob,36_with_prob,37_with_prob,38_with_prob
Martinez,3.79732,3.79732,3.79732,3.79732,3.4031,3.5255,3.81081,3.79184,3.51771,3.81549,3.85654,3.50911,3.51808,3.41698,3.34851,3.54851,3.51308,3.47814,3.4908,3.91196,3.44117,3.65219,3.7142,3.74711,3.97478,3.7585,3.51715,3.21199,3.42587,2.98081,3.39996,3.43577,3.67493,3.74694,3.69223,3.26642,3.57812
Nakamba,1.75362,1.75362,1.75362,1.75362,1.75468,3.48302,1.76224,1.8378,1.67387,1.7261,1.70681,1.73211,1.73414,1.73548,1.63284,1.78436,1.77982,1.76367,1.7254,1.72252,1.73029,1.6658,1.71205,1.80417,1.6293,1.73527,1.71135,1.85205,1.71042,1.6499,1.87646,1.59642,1.80118,1.7578,1.82814,1.704,1.82421
Watkins,4.40488,4.40488,4.40488,4.40488,4.14248,4.75171,4.37411,4.73641,4.65725,4.68236,5.37087,4.25248,4.60636,4.19283,4.29924,4.22372,4.40683,4.06949,4.62886,4.73936,4.77843,4.79371,4.705,5.06418,5.4495,4.16821,4.38462,4.45936,4.74918,4.059,4.34799,4.2747,4.75634,4.35589,4.36037,4.7782,4.4298
Semenyo,1.65787,1.65787,1.65787,1.65787,1.66483,1.63982,1.7935,1.79836,1.7568,1.55999,1.80846,1.81373,1.77102,1.68805,1.56361,1.7666,1.77528,2.01307,1.62681,1.80838,1.69826,2.04022,1.90715,1.57975,1.60621,1.75428,1.68012,1.67501,1.81695,1.71895,1.59771,1.7831,1.74725,1.80971,1.63448,1.6598,1.61187
Solanke,3.76422,3.76422,3.76422,3.76422,3.75752,3.73543,4.10913,4.11461,4.01677,3.55336,4.1384,4.15082,4.05025,3.8549,3.5619,4.03986,4.06028,4.62017,3.7107,4.13821,3.87893,4.6841,4.37077,3.59989,3.66219,4.01084,3.83622,3.8242,4.15839,3.92765,3.64217,4.07868,3.99428,4.14136,3.72877,3.78837,3.67553
Mbeumo,5.9319,5.9319,5.9319,5.9319,6.73042,6.71189,6.01543,6.36395,5.842,6.39931,5.56207,6.16631,6.19662,6.07832,6.32672,6.16512,0,6.37523,6.02897,6.82973,6.02369,5.58219,6.29333,6.1129,5.98716,6.10894,5.67926,6.09257,6.55722,6.13678,5.81569,6.03296,5.97401,6.08551,6.67128,6.44446,6.41864
Pinnock,2.66907,2.66907,2.66907,2.66907,3.98811,3.6721,2.98472,4.20847,2.89085,3.94334,2.38868,3.50409,4.02732,3.04606,3.20833,3.558,0,3.93602,3.67716,4.2131,3.01887,2.65666,3.71783,3.00828,3.09105,3.18953,2.86818,4.15547,3.37816,3.17929,3.09372,3.97592,3.10009,3.37999,3.80052,3.74379,3.63363
Wissa,3.42569,3.42569,3.42569,3.42569,3.92918,3.7905,3.32308,3.7709,3.43812,3.85619,3.42131,3.50951,3.79342,3.55799,3.90163,3.80356,0,3.86632,3.61305,4.42168,3.47243,3.42512,3.58311,3.88933,3.63649,3.55443,3.49005,3.76512,3.83128,3.8924,3.74897,3.59483,3.4056,3.85854,4.35933,3.75306,3.88952
Estupiñan,2.5488,2.5488,2.5488,2.5488,3.58715,2.70025,2.68266,2.17253,3.44176,3.05021,3.60508,3.3724,2.59477,3.34555,3.82161,2.57367,3.32691,2.90406,2.78118,3.56793,2.78959,3.39102,2.71397,2.89038,3.69522,3.52913,3.82592,2.37672,2.1272,3.00717,3.16576,3.77225,2.87288,3.38895,3.21596,2.5162,3.0485
Ferguson,2.77969,2.77969,2.77969,2.27969,3.47755,3.60495,3.81993,3.18004,4.26316,3.74177,3.46722,3.69471,3.30407,3.41864,3.65053,3.35813,3.48619,3.44888,3.51059,3.74988,3.27021,3.56005,3.33979,3.78664,3.79432,4.00995,4.32807,3.29054,3.28657,3.31604,3.3784,3.64451,3.42517,3.63196,3.68453,3.22728,3.7134
Gross,3.97167,3.97167,3.97167,3.97167,4.60606,3.98194,4.20677,3.79727,4.58602,4.22962,4.19764,4.63307,4.08145,4.50626,4.39903,3.98243,4.19521,4.37145,4.16977,4.40589,4.16177,4.26709,4.192,4.37638,4.59962,4.43683,4.68243,3.92337,3.91113,4.27415,4.27878,4.23391,4.24387,4.44802,4.27805,4.0375,4.51662
March,4.12595,4.12595,4.12595,4.12595,4.7375,4.02364,4.27733,3.84984,4.66578,4.29709,4.26401,4.71445,4.14381,4.58326,4.47234,4.04138,4.2615,4.4438,4.23518,4.47944,4.22691,4.33585,4.25817,4.44891,4.67984,4.51144,4.76551,3.98028,3.96762,4.34315,4.34794,4.30153,4.31183,4.52302,4.34719,4.09835,4.59399
Mitoma,4.21226,4.21226,4.21226,4.21226,4.79679,4.0421,4.27076,3.82524,4.64076,4.27226,4.2392,4.68941,4.11907,4.55829,4.44742,4.01669,4.23669,4.4189,4.21038,4.45452,4.20211,4.311,4.23336,4.424,4.65482,4.4865,4.74044,3.95562,3.94296,4.3183,4.32309,4.2767,4.28699,4.49807,4.32234,4.07362,4.569
Al-Dakhil,1.83678,1.83678,1.83678,1.83678,1.71007,3.12077,1.70007,1.76982,1.96809,1.96917,1.54468,2.06459,2.08034,1.95554,1.63069,2.12716,2.0409,1.61242,1.65374,2.1052,1.33634,1.99552,1.3128,1.85218,1.93587,2.14933,1.65245,1.94556,1.55564,2.06105,1.79217,1.69512,1.70916,1.61127,1.91482,1.61754,2.19504
Foster,2.30293,2.30293,2.30293,2.30293,2.30999,4.12425,2.14319,2.08608,2.25142,2.21378,2.10811,2.30761,2.1652,2.15881,2.14513,2.33639,2.44924,2.32567,2.24919,2.27341,2.0149,2.58176,2.07066,2.11871,2.17513,2.31623,2.1879,2.13978,2.07982,2.31313,2.30889,2.32734,2.33237,2.01944,2.32577,2.09851,2.61573
Chilwell,3.56819,3.56819,3.56819,3.56819,3.35888,3.72949,4.01941,3.3196,3.5311,2.78815,2.39143,2.5555,2.96385,2.77394,3.18368,3.83638,3.5537,3.58458,2.8771,3.64427,2.09791,3.79268,3.50916,2.15124,3.01175,3.13304,3.46148,2.6231,4.09109,3.18167,2.99566,3.94242,2.81793,2.87013,3.8007,3.56268,3.99263
Chukwuemeka,0.51444,0.51444,0.51444,0.01444,0.79215,0.98868,1.00625,1.04563,1.08869,1.0292,0.97835,0.99996,1.04223,1.02684,1.03632,1.03027,1.06026,1.04342,1.02348,1.10379,0.97604,1.06969,1.02981,0.95448,1.06317,1.04475,1.07469,0.98953,1.06839,1.09065,1.06411,1.10636,1.0355,1.00525,1.07246,1.1127,1.13803
Enzo,4.107,4.107,4.107,4.107,3.86136,3.91412,3.68975,3.68882,3.89081,3.61176,3.37323,3.47457,3.67286,3.60066,3.64516,3.61677,3.75745,3.67844,3.58492,3.96164,3.36236,3.80169,3.61462,3.26126,3.7711,3.68471,3.82514,3.42567,3.7956,3.90002,3.77549,3.97371,3.64128,3.49938,3.8147,4.00342,4.12227
Gusto,2.24572,2.24572,2.24572,2.24572,2.11807,2.30521,2.44392,2.04511,2.16802,1.73627,1.50573,1.60108,1.83838,1.72802,1.96612,2.34542,2.18115,2.1991,1.78797,2.23379,1.33516,2.32003,2.15527,1.36615,1.86621,1.9367,2.12756,1.64036,2.49344,1.96496,1.85686,2.40705,1.75358,1.78391,2.32469,2.18637,2.43623
James,2.73811,2.73811,2.73811,2.73811,2.91926,3.3268,3.58623,2.97399,3.16811,2.48618,2.12204,2.27264,2.64745,2.47314,2.84922,3.44832,3.18886,3.2172,2.56783,3.27199,1.85263,3.40821,3.14797,1.90158,2.69142,2.80275,3.10421,2.33469,3.68211,2.84738,2.67665,3.54565,2.51351,2.56143,3.41557,3.1971,3.59174
Lukaku,1.41723,1.41723,1.41723,1.41723,1.41154,1.55076,1.45032,1.32765,1.34187,1.31401,1.29661,1.27427,1.46848,1.26064,1.45602,1.35903,1.35472,1.39183,1.30036,1.58082,1.29756,1.45273,1.36316,1.25611,1.34236,1.29552,1.43569,1.32299,1.42379,1.44455,1.47146,1.48022,1.32409,1.41572,1.4672,1.4394,1.44955
N.Jackson,4.60802,4.60802,4.60802,4.60802,4.58351,4.90523,4.37511,4.01022,4.06111,3.96141,3.89913,3.81915,4.51425,3.77039,4.46967,4.12253,4.1071,4.2399,3.87344,5.1289,3.89412,4.47991,4.14651,3.75943,4.09934,3.93138,4.51045,3.9846,4.35431,4.43379,4.52639,4.53611,4.07404,4.32544,4.46658,4.41016,4.48739
Sterling,4.07686,4.07686,4.07686,4.07686,3.92752,4.05353,3.82328,3.87515,4.08651,3.79453,3.54494,3.65098,3.85846,3.78291,3.82948,3.79977,3.94696,3.86429,3.76644,4.16062,3.53356,3.99326,3.79751,3.42778,3.96125,3.87085,4.0178,3.59981,3.98688,4.09614,3.96584,4.17325,3.82541,3.67694,4.00687,4.20434,4.3287
C.Doucouré,2.61467,2.61467,2.61467,2.61467,2.95283,2.78097,3.08886,2.7619,2.94137,2.86746,3.064,2.82869,2.83299,3.15392,2.8741,2.63279,2.88191,2.78552,3.01383,2.7323,2.84796,2.8628,2.87281,2.86515,2.9562,2.84493,2.90148,2.97408,3.08198,2.98253,2.70056,2.69398,2.96776,2.97651,3.0194,2.93311,2.89118
Edouard,3.08717,3.08717,3.08717,3.08717,3.45882,2.69203,3.48196,2.69561,2.85065,2.98751,3.09232,2.72565,2.89382,3.06536,3.07798,2.66257,3.08022,2.74934,2.82949,2.78716,2.86348,2.83664,2.83405,3.05555,2.99172,2.77432,3.00812,3.07811,3.02262,2.97872,2.73987,2.73709,3.05384,3.24316,3.0357,2.85494,3.0155
Eze,4.25804,4.25804,4.25804,4.25804,4.70052,4.2702,4.75465,4.05636,4.39765,4.25709,4.63084,4.18337,4.19154,4.80183,4.26973,3.81085,4.28458,4.10128,4.53543,4.00008,4.22002,4.24823,4.26727,4.2527,4.42584,4.21426,4.32179,4.45985,4.66503,4.47591,3.93972,3.92721,4.44783,4.46447,4.54602,4.38193,4.3022
Guéhi,2.73509,2.73509,2.73509,2.73509,3.5087,2.81745,4.05103,2.70934,3.11615,4.02677,3.94598,2.9961,2.98727,3.99075,2.90644,2.34888,3.07344,2.79175,3.57922,2.76962,3.85143,2.94333,3.08345,3.26945,4.07854,2.91678,3.90162,3.51715,3.60738,3.62474,2.56305,2.30134,3.81962,3.77177,3.26766,3.59938,3.4433
Lerma,2.98704,2.98704,2.98704,2.98704,3.32802,3.11079,3.41257,3.04093,3.2373,3.15642,3.37147,3.11401,3.11871,3.46985,3.1637,2.89967,3.17224,3.06678,3.31657,3.00855,3.1351,3.15133,3.16228,3.1539,3.25352,3.13178,3.19365,3.27308,3.39114,3.28232,2.97382,2.96662,3.26617,3.27575,3.32267,3.22825,3.18238
Schlupp,2.76122,2.76122,2.76122,2.76122,3.09591,2.90066,3.19869,2.83655,3.0247,2.94721,3.15326,2.90657,2.91108,3.24752,2.95418,2.7012,2.96237,2.86131,3.10066,2.80552,2.92678,2.94233,2.95282,2.94479,3.04024,2.9236,2.98288,3.05899,3.17211,3.06784,2.77225,2.76535,3.05236,3.06154,3.1065,3.01603,2.97208
A.Doucoure,4.25208,4.25208,4.25208,4.25208,4.1604,4.11897,4.4845,3.57376,3.82102,3.90804,3.84534,4.15259,4.26392,4.07199,3.89185,3.88233,3.84227,3.58547,3.99911,3.92453,4.07632,4.01381,3.46492,3.91405,3.87404,4.06075,3.83032,3.89416,4.08701,3.69457,4.04018,3.73659,4.3111,4.14269,3.81337,3.84766,3.64193
Onana,2.72555,2.72555,2.72555,2.72555,2.75298,2.80911,3.08875,2.64471,2.78425,2.83337,2.79798,2.97139,3.03421,2.92589,2.82423,2.81886,2.79624,2.65131,2.88476,2.84267,2.92834,2.89306,2.58328,2.83676,2.81418,2.91955,2.7895,2.82553,2.93437,2.71289,2.90794,2.7366,3.06084,2.96579,2.77994,2.79929,2.68318
Pickford,3.25567,3.25567,3.25567,3.25567,3.43089,3.40391,3.54164,3.36017,3.13606,3.41073,3.45684,3.57605,3.66479,3.33685,3.60474,3.58286,3.39638,3.31566,3.6607,3.41618,3.60488,3.40342,2.93353,3.64888,3.55681,3.64408,3.36924,3.18375,3.40423,3.33435,3.38033,3.3035,3.80434,3.30075,3.61486,3.39985,3.33212
Leno,3.48673,3.48673,3.48673,3.48673,3.54245,3.69815,3.48246,3.4788,3.64769,3.66795,3.37628,3.40202,3.44068,3.90827,3.73956,3.4135,3.46191,3.48707,3.33068,3.38103,3.64728,3.67511,3.63173,3.49965,3.45024,3.49391,3.75705,3.48621,3.61075,3.76137,3.41614,3.20476,3.25497,3.74461,3.51513,3.39383,3.70881
Lukić,1.30531,1.30531,1.30531,1.30531,1.532,1.61365,1.60812,1.63723,1.64533,1.71635,1.60639,1.68936,1.56878,1.75676,1.69293,1.59958,1.68769,1.69963,1.65838,1.61029,1.73658,1.64745,1.77735,1.65821,1.63419,1.654,1.67722,1.68097,1.68217,1.74473,1.6958,1.63182,1.65046,1.65553,1.65725,1.57176,1.62987
Alexander-Arnold,3.62904,3.62904,3.62904,3.12904,4.41994,3.45207,3.60296,5.07539,5.28113,3.64975,4.52494,2.67838,4.6764,3.80841,4.49559,4.05733,4.24192,5.19665,4.43178,4.59325,3.78086,3.30984,5.27434,3.99226,5.00882,4.56721,2.99981,4.06002,3.76584,4.93348,3.5117,4.59652,4.81393,3.63651,3.82994,3.64042,4.875
A.Becker,3.93296,3.93296,3.93296,3.93296,3.91372,3.62696,3.81269,3.81224,4.09926,3.8799,3.51626,3.09113,3.97934,3.77208,3.69696,3.83497,3.46407,3.84285,3.55805,3.63606,3.86818,3.55258,3.60839,3.66692,3.63568,3.9377,3.53352,4.03555,3.64358,3.63099,3.59555,3.91928,3.86835,3.3256,3.63512,3.51423,3.54253
Darwin,3.2017,3.2017,3.2017,3.2017,3.47796,3.10808,3.14837,3.43433,3.91806,2.95933,3.09385,2.87761,3.85923,3.42736,3.15506,3.36098,3.05737,3.29855,3.41593,3.28717,3.09976,3.039,3.30401,3.00086,3.32525,3.34405,2.97774,3.3867,3.41865,3.13787,2.88546,3.22201,3.62975,3.17718,3.12125,3.28332,3.39404
Diogo J.,3.03551,3.03551,3.03551,3.03551,3.16899,3.05175,3.16144,3.49225,3.55531,3.15885,3.42116,2.88129,3.4819,3.32226,3.18431,3.42905,3.24794,3.21377,3.36484,3.37681,3.22136,3.02228,3.33951,3.24441,3.26198,3.51772,2.97731,3.2105,3.23426,3.18616,3.17234,3.23904,3.36829,3.16494,3.3185,3.08549,3.34473
Gakpo,2.7301,2.7301,2.7301,2.7301,3.03469,2.79911,2.9158,3.22064,3.62503,2.82355,2.93601,2.75524,3.57585,3.21482,2.98718,3.15933,2.90552,3.10714,3.20526,3.09762,2.94095,2.89016,3.1117,2.85827,3.12946,3.14517,2.83895,3.18083,3.20754,2.97281,2.7618,3.04315,3.38401,3.00567,2.95892,3.0944,3.18697
Luis Díaz,3.68689,3.68689,3.68689,3.68689,3.82413,3.71104,3.82888,4.21742,4.29523,3.80603,4.1297,3.46355,4.20465,4.00767,3.83745,4.13944,3.91597,3.87381,4.06022,4.07498,3.88317,3.63753,4.02895,3.91162,3.93329,4.24886,3.58203,3.86978,3.89908,3.83973,3.82268,3.90499,4.06447,3.81355,4.00304,3.71552,4.0354
Mac Allister,3.88764,3.88764,3.88764,3.88764,4.12526,4.01757,4.13004,4.56602,4.6539,4.10139,4.46695,3.71458,4.5516,4.32913,4.13688,4.47795,4.22555,4.17794,4.38847,4.40515,4.18851,3.91108,4.35316,4.22064,4.24512,4.60153,3.8484,4.17338,4.20648,4.13945,4.1202,4.21315,4.39327,4.10988,4.32389,3.99916,4.36045
Robertson,3.61151,3.61151,3.61151,3.61151,3.94485,2.97364,3.04609,4.21342,4.37024,3.12677,3.79386,2.38636,3.9093,3.2477,3.77148,3.43743,3.57813,4.30585,3.72285,3.84593,3.2267,2.86768,4.36507,3.38783,4.16268,3.82608,2.63137,3.43948,3.21525,4.10526,3.02154,3.84842,4.01413,3.11668,3.26411,3.11966,4.06068
Salah,6.27924,6.27924,6.27924,6.27924,6.45407,6.11319,6.19305,6.80401,6.9422,6.07337,6.64822,5.46511,6.78132,6.43148,6.12917,6.66551,6.26861,6.19374,6.52481,6.55103,6.21036,5.77409,6.46928,6.26089,6.29939,6.85984,5.67553,6.18657,6.23862,6.13321,6.10294,6.24911,6.53236,6.08671,6.42325,5.91261,6.48073
Szoboszlai,3.56925,3.56925,3.56925,3.56925,3.69479,3.57132,3.62862,3.92981,3.99397,3.59062,3.85749,3.30825,3.91928,3.75687,3.61653,3.86552,3.68126,3.6465,3.8002,3.81237,3.65422,3.45169,3.77442,3.67767,3.69555,3.95573,3.40593,3.64318,3.66734,3.61841,3.60435,3.67221,3.8037,3.59682,3.75305,3.51599,3.77974
Virgil,1.5,1.5,1.5,0,3.35335,2.53698,2.60504,3.57896,3.71212,2.65629,3.22271,2.02761,3.32073,2.75897,3.20372,2.92007,3.03954,3.65744,3.16242,3.26692,2.74114,2.4363,3.70773,2.87796,3.53588,3.25007,2.23564,2.92181,2.73142,3.48712,2.56694,3.26904,3.40974,2.64772,2.77291,2.65025,3.44927
Adebayo,2.63709,2.63709,2.63709,2.63709,2.5082,4.98536,2.35534,2.48897,2.45255,2.53198,2.21392,2.41577,2.28313,2.31703,2.26927,2.45486,2.53209,2.53894,2.34245,2.46169,2.53372,2.23488,2.36531,2.49913,2.26711,2.48344,2.37562,2.83326,2.29604,2.30601,2.52217,2.2092,2.3389,2.35868,2.54312,2.38889,2.79797
Andersen,1.86671,1.86671,1.86671,1.86671,1.92303,3.78049,1.59259,1.85821,1.52431,1.47919,1.47793,1.86876,1.65107,1.74101,1.29351,1.86759,1.80941,1.58483,1.5749,2.08498,1.56949,1.37262,1.99016,1.67451,1.152,1.76948,1.8324,2.11541,1.48478,1.40521,2.0655,1.17771,1.84298,1.85388,2.04129,1.5229,1.89754
Bell,1.99595,1.99595,1.99595,1.99595,2.06835,4.12245,1.80016,2.05125,1.73562,1.69297,1.69178,2.06123,1.85544,1.94047,1.51745,2.06012,2.00513,1.79283,1.78344,2.26561,1.77833,1.59222,2.17599,1.8776,1.38368,1.96738,2.02686,2.29438,1.69825,1.62303,2.2472,1.40798,2.03685,2.04716,2.22432,1.73429,2.08843
Burke,1.97685,1.97685,1.97685,1.97685,2.00091,3.85958,1.62311,1.88708,1.55526,1.51042,1.50917,1.89757,1.68123,1.77061,1.3259,1.8964,1.83859,1.6154,1.60554,2.11244,1.60016,1.40451,2.01821,1.70452,1.18527,1.7989,1.86143,2.14268,1.51598,1.4369,2.09308,1.21082,1.87194,1.88277,2.06902,1.55386,1.92617
Morris,3.52165,3.52165,3.52165,3.52165,3.29842,6.49805,3.06594,3.26344,3.2096,3.32701,2.85691,3.15525,2.95921,3.00931,2.93872,3.21302,3.32716,3.33729,3.04688,3.22311,3.32958,2.8879,3.08067,3.27845,2.93554,3.25526,3.09591,3.77229,2.97829,2.99303,3.31251,2.84995,3.04164,3.07087,3.34347,3.11552,3.72013
Ogbene,1.75018,1.75018,1.75018,1.75018,1.69691,3.48314,1.67563,1.77313,1.74656,1.80452,1.57244,1.71972,1.62294,1.64767,1.61282,1.74824,1.80459,1.8096,1.66622,1.75322,1.80579,1.58773,1.6829,1.78055,1.61125,1.7691,1.69043,2.02435,1.63236,1.63963,1.79736,1.569,1.66364,1.67806,1.81264,1.70011,1.9986
Woodrow,1.08877,1.08877,1.08877,1.08877,1.04424,2.10811,1.01221,1.07034,1.0545,1.08906,0.95069,1.0385,0.9808,0.99554,0.97477,1.05551,1.0891,1.09208,1.0066,1.05847,1.08981,0.95981,1.01655,1.07476,0.97383,1.06794,1.02103,1.22012,0.98641,0.99075,1.08479,0.94864,1.00506,1.01366,1.0939,1.02681,1.20477
Aké,3.18289,3.18289,3.18289,2.68289,3.88737,3.40364,2.53541,2.9083,2.72017,3.92746,2.59533,2.72275,2.95575,2.81545,2.82236,3.52322,0,3.12607,3.77267,2.50377,4.025,3.07591,3.87772,2.91941,3.5208,3.12408,2.05045,2.76374,3.26072,3.31922,3.44851,3.82844,2.73423,3.50153,3.72938,3.68416,3.73733
J.Alvarez,3.3677,3.3677,3.3677,3.3677,3.99001,3.22181,3.09434,3.42982,2.93472,3.41195,3.03181,3.42713,3.15367,3.30415,3.00331,3.24722,0,3.40015,3.1691,2.96718,3.32337,3.04188,3.44438,3.13371,3.30774,3.37627,3.01708,3.13683,3.09435,3.35198,3.18506,3.3431,3.06186,3.36055,3.40697,3.62584,3.3981
De Bruyne,1.5,1.5,1.5,0,0,0,0,0,0,0,0,0,0,0,0.04842,2.4487,0,2.90987,3.04581,3.00909,3.30912,3.20548,3.47559,3.18036,3.34978,3.40672,2.90422,3.1649,3.20933,3.20873,3.13998,3.22463,3.13731,3.50336,3.31482,3.34049,3.32698
Rúben,2.23564,2.23564,2.23564,2.23564,3.21583,2.8165,2.13298,2.42677,2.27888,3.22795,2.18074,2.28091,2.46407,2.35379,2.35922,2.91017,0,2.59796,3.10626,2.10877,3.30462,2.55853,3.18885,2.43551,2.90827,2.5964,1.75241,2.31313,2.70382,2.7498,2.85144,3.15011,2.28994,2.89312,3.07223,3.03669,3.07848
Foden,3.5079,3.5079,3.5079,3.5079,3.97335,3.68931,3.4292,3.71398,3.6412,4.16698,3.55345,3.70098,3.81301,3.53912,3.62534,3.7196,0,3.68606,3.65744,3.5141,3.83769,3.72592,4.01723,3.69882,3.88154,3.94295,3.40099,3.68214,3.73006,3.72941,3.65527,3.74657,3.65239,4.04718,3.84384,3.87153,3.85695
Grealish,1.40607,1.40607,1.40607,1.40607,2.09976,2.17152,2.06319,2.21508,2.17071,2.49124,2.11722,2.20715,2.27545,2.10848,2.16104,2.21851,0,2.19806,2.18061,2.09323,2.2905,2.22236,2.39995,2.20584,2.31723,2.35467,2.02428,2.19567,2.22489,2.22449,2.17929,2.23495,2.17754,2.41821,2.29425,2.31113,2.30224
Haaland,5.81789,5.81789,5.81789,5.81789,7.19748,5.6334,5.38473,6.06809,5.05028,6.03135,5.24986,6.06256,5.50039,5.80975,5.19128,5.69271,0,6.00709,5.53211,5.11701,5.84925,5.27056,6.09801,5.45936,5.81711,5.958,5.21958,5.46576,5.37845,5.90806,5.56492,5.8898,5.31165,5.92567,6.02111,6.47105,6.00287
Rodrigo,3.45852,3.45852,3.45852,3.45852,3.91991,3.71383,3.44487,3.71314,3.64488,4.13799,3.56258,3.70094,3.80601,3.54914,3.63001,3.71841,0,3.68695,3.66011,3.52568,3.82916,3.72433,3.99755,3.69892,3.87029,3.92788,3.4196,3.68328,3.72822,3.72761,3.65808,3.7437,3.65538,4.02563,3.83493,3.86089,3.84722
Stones,0.84172,0.84172,0.84172,0.84172,1.61436,1.55937,1.19917,1.36112,1.27086,1.85005,1.21097,1.2721,1.38388,1.31657,1.31989,1.65612,0,1.46559,1.77579,1.16705,1.89684,1.44153,1.82619,1.36645,1.65496,1.46463,0.94957,1.29177,1.53019,1.55825,1.62028,1.80255,1.27761,1.64571,1.75502,1.73333,1.75883
