Player,Squad,Team,Captain,TripCaptain,BB,WC,FH,TTr
Mbeumo,1.0,1.0,1.0,0,0.0,-0.0,-0.0,0.0
Saka,1.0,1.0,0.0,0,0.0,-0.0,-0.0,0.0
Cash,1.0,1.0,0.0,0,0.0,-0.0,-0.0,0.0
Martinez,1.0,1.0,0.0,0,0.0,-0.0,-0.0,0.0
Estupiñan,1.0,1.0,0.0,0,0.0,-0.0,-0.0,0.0
Salah,1.0,1.0,0.0,0,0.0,-0.0,-0.0,0.0
J.Alvarez,1.0,1.0,0.0,0,0.0,-0.0,-0.0,0.0
Haaland,1.0,1.0,0.0,0,0.0,-0.0,-0.0,0.0
B.Fernandes,1.0,1.0,0.0,0,0.0,-0.0,-0.0,0.0
Disasi,1.0,1.0,0.0,0,0.0,-0.0,-0.0,0.0
Ward-Prowse,1.0,1.0,0.0,0,0.0,-0.0,-0.0,0.0
Turner,1.0,0.0,0.0,0,0.0,-0.0,-0.0,0.0
Bell,1.0,0.0,0.0,0,0.0,-0.0,-0.0,0.0
Burke,1.0,0.0,0.0,0,0.0,-0.0,-0.0,0.0
Osula,1.0,0.0,0.0,0,0.0,-0.0,-0.0,0.0
